Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","004","Afghanistan","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.548","E","Estimated value"
"ET","Temperature change on land","004","Afghanistan","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.892","E","Estimated value"
"ET","Temperature change on land","004","Afghanistan","7271","Temperature change","7020","Meteorological year","2020","2020","°C","0.483","E","Estimated value"
"ET","Temperature change on land","004","Afghanistan","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.311","E","Estimated value"
"ET","Temperature change on land","004","Afghanistan","7271","Temperature change","7020","Meteorological year","2022","2022","°C","1.876","E","Estimated value"
"ET","Temperature change on land","004","Afghanistan","7271","Temperature change","7020","Meteorological year","2023","2023","°C","1.667","E","Estimated value"
"ET","Temperature change on land","004","Afghanistan","7271","Temperature change","7020","Meteorological year","2024","2024","°C","2.082","E","Estimated value"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2018","2018","°C","2.147","E","Estimated value"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.787","E","Estimated value"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.607","E","Estimated value"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.691","E","Estimated value"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2022","2022","°C","1.641","E","Estimated value"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2023","2023","°C","2.251","E","Estimated value"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2024","2024","°C","2.861","E","Estimated value"
"ET","Temperature change on land","012","Algeria","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.15","E","Estimated value"
"ET","Temperature change on land","012","Algeria","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.117","E","Estimated value"
"ET","Temperature change on land","012","Algeria","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.881","E","Estimated value"
"ET","Temperature change on land","012","Algeria","7271","Temperature change","7020","Meteorological year","2021","2021","°C","2.333","E","Estimated value"
"ET","Temperature change on land","012","Algeria","7271","Temperature change","7020","Meteorological year","2022","2022","°C","1.696","E","Estimated value"
"ET","Temperature change on land","012","Algeria","7271","Temperature change","7020","Meteorological year","2023","2023","°C","2.196","E","Estimated value"
"ET","Temperature change on land","012","Algeria","7271","Temperature change","7020","Meteorological year","2024","2024","°C","2.725","E","Estimated value"
"ET","Temperature change on land","016","American Samoa","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.99","E","Estimated value"
"ET","Temperature change on land","016","American Samoa","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.34","E","Estimated value"
"ET","Temperature change on land","016","American Samoa","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.232","E","Estimated value"
"ET","Temperature change on land","016","American Samoa","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.069","E","Estimated value"
"ET","Temperature change on land","016","American Samoa","7271","Temperature change","7020","Meteorological year","2022","2022","°C","1.057","E","Estimated value"
"ET","Temperature change on land","016","American Samoa","7271","Temperature change","7020","Meteorological year","2023","2023","°C","1.082","E","Estimated value"
"ET","Temperature change on land","016","American Samoa","7271","Temperature change","7020","Meteorological year","2024","2024","°C","1.658","E","Estimated value"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.847","E","Estimated value"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.893","E","Estimated value"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2020","2020","°C","2.48","E","Estimated value"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.453","E","Estimated value"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2022","2022","°C","3.147","E","Estimated value"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2023","2023","°C","2.768","E","Estimated value"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2024","2024","°C","2.423","E","Estimated value"
"ET","Temperature change on land","024","Angola","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.189","E","Estimated value"
"ET","Temperature change on land","024","Angola","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.444","E","Estimated value"
"ET","Temperature change on land","024","Angola","7271","Temperature change","7020","Meteorological year","2020","2020","°C","0.915","E","Estimated value"
"ET","Temperature change on land","024","Angola","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.451","E","Estimated value"
"ET","Temperature change on land","024","Angola","7271","Temperature change","7020","Meteorological year","2022","2022","°C","0.863","E","Estimated value"
"ET","Temperature change on land","024","Angola","7271","Temperature change","7020","Meteorological year","2023","2023","°C","1.383","E","Estimated value"
"ET","Temperature change on land","024","Angola","7271","Temperature change","7020","Meteorological year","2024","2024","°C","1.457","E","Estimated value"
"ET","Temperature change on land","660","Anguilla","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.561","E","Estimated value"
"ET","Temperature change on land","660","Anguilla","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.788","E","Estimated value"
"ET","Temperature change on land","660","Anguilla","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.165","E","Estimated value"
"ET","Temperature change on land","660","Anguilla","7271","Temperature change","7020","Meteorological year","2021","2021","°C","0.82","E","Estimated value"
"ET","Temperature change on land","660","Anguilla","7271","Temperature change","7020","Meteorological year","2022","2022","°C","0.819","E","Estimated value"
"ET","Temperature change on land","660","Anguilla","7271","Temperature change","7020","Meteorological year","2023","2023","°C","1.183","E","Estimated value"
"ET","Temperature change on land","660","Anguilla","7271","Temperature change","7020","Meteorological year","2024","2024","°C","1.534","E","Estimated value"
"ET","Temperature change on land","010","Antarctica","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.451","E","Estimated value"
"ET","Temperature change on land","010","Antarctica","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.654","E","Estimated value"
"ET","Temperature change on land","010","Antarctica","7271","Temperature change","7020","Meteorological year","2020","2020","°C","0.787","E","Estimated value"
"ET","Temperature change on land","010","Antarctica","7271","Temperature change","7020","Meteorological year","2021","2021","°C","-0.587","E","Estimated value"
"ET","Temperature change on land","010","Antarctica","7271","Temperature change","7020","Meteorological year","2022","2022","°C","0.47","E","Estimated value"
"ET","Temperature change on land","010","Antarctica","7271","Temperature change","7020","Meteorological year","2023","2023","°C","0.483","E","Estimated value"
"ET","Temperature change on land","010","Antarctica","7271","Temperature change","7020","Meteorological year","2024","2024","°C","0.53","E","Estimated value"
"ET","Temperature change on land","028","Antigua and Barbuda","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.556","E","Estimated value"
"ET","Temperature change on land","028","Antigua and Barbuda","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.811","E","Estimated value"
"ET","Temperature change on land","028","Antigua and Barbuda","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.131","E","Estimated value"
"ET","Temperature change on land","028","Antigua and Barbuda","7271","Temperature change","7020","Meteorological year","2021","2021","°C","0.857","E","Estimated value"
"ET","Temperature change on land","028","Antigua and Barbuda","7271","Temperature change","7020","Meteorological year","2022","2022","°C","0.758","E","Estimated value"
"ET","Temperature change on land","028","Antigua and Barbuda","7271","Temperature change","7020","Meteorological year","2023","2023","°C","1.113","E","Estimated value"
"ET","Temperature change on land","028","Antigua and Barbuda","7271","Temperature change","7020","Meteorological year","2024","2024","°C","1.54","E","Estimated value"
"ET","Temperature change on land","032","Argentina","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.764","E","Estimated value"
"ET","Temperature change on land","032","Argentina","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.66","E","Estimated value"
"ET","Temperature change on land","032","Argentina","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.017","E","Estimated value"
"ET","Temperature change on land","032","Argentina","7271","Temperature change","7020","Meteorological year","2021","2021","°C","0.915","E","Estimated value"
"ET","Temperature change on land","032","Argentina","7271","Temperature change","7020","Meteorological year","2022","2022","°C","0.543","E","Estimated value"
"ET","Temperature change on land","032","Argentina","7271","Temperature change","7020","Meteorological year","2023","2023","°C","1.435","E","Estimated value"
"ET","Temperature change on land","032","Argentina","7271","Temperature change","7020","Meteorological year","2024","2024","°C","1.001","E","Estimated value"
"ET","Temperature change on land","051","Armenia","7271","Temperature change","7020","Meteorological year","2018","2018","°C","2.691","E","Estimated value"
"ET","Temperature change on land","051","Armenia","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.757","E","Estimated value"
"ET","Temperature change on land","051","Armenia","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.849","E","Estimated value"
"ET","Temperature change on land","051","Armenia","7271","Temperature change","7020","Meteorological year","2021","2021","°C","2.142","E","Estimated value"
"ET","Temperature change on land","051","Armenia","7271","Temperature change","7020","Meteorological year","2022","2022","°C","1.783","E","Estimated value"
"ET","Temperature change on land","051","Armenia","7271","Temperature change","7020","Meteorological year","2023","2023","°C","2.173","E","Estimated value"
"ET","Temperature change on land","051","Armenia","7271","Temperature change","7020","Meteorological year","2024","2024","°C","2.339","E","Estimated value"
"ET","Temperature change on land","533","Aruba","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.951","E","Estimated value"
"ET","Temperature change on land","533","Aruba","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.287","E","Estimated value"
"ET","Temperature change on land","533","Aruba","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.631","E","Estimated value"
"ET","Temperature change on land","533","Aruba","7271","Temperature change","7020","Meteorological year","2021","2021","°C","","O","Missing value"
"ET","Temperature change on land","533","Aruba","7271","Temperature change","7020","Meteorological year","2022","2022","°C","","O","Missing value"
"ET","Temperature change on land","533","Aruba","7271","Temperature change","7020","Meteorological year","2023","2023","°C","","O","Missing value"
"ET","Temperature change on land","533","Aruba","7271","Temperature change","7020","Meteorological year","2024","2024","°C","","O","Missing value"
"ET","Temperature change on land","654","Ascension, Saint Helena and Tristan da Cunha","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.363","E","Estimated value"
"ET","Temperature change on land","654","Ascension, Saint Helena and Tristan da Cunha","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.534","E","Estimated value"
