Country;Year;Food Category;Total Waste (Tons);Economic Loss (Million $);Avg Waste per Capita (Kg);Population (Million);Household Waste (%);Economic Loss per Ton ($);Year Category
Argentina;2020;Prepared Food;363200;3589551;4243;8764;4194; 9.883.125,00 ;2018-2021
India;2024;Beverages;2589446;2358407;8566;131781;6446; 9.107.766.680.595,00 ;2022-2024
USA;2024;Prepared Food;282932;2791729;13694;127682;5711; 9.867.137.686.794,00 ;2022-2024
Canada;2021;Fruits & Vegetables;4468118;4527029;9079;9256;5865; 10.131.847.457.923,00 ;2018-2021
India;2021;Fruits & Vegetables;276204;2876171;460;35651;3952; 10.413.212.697.861,00 ;2018-2021
Saudi Arabia;2023;Fruits & Vegetables;1253398;1327487;3455;68475;471; 10.591.105.139.788,00 ;2022-2024
Argentina;2019;Frozen Food;1241676;1459525;4072;9262;3697; 11.754.475.402.601,00 ;2018-2021
Indonesia;2024;Grains & Cereals;2925227;2359289;11509;57522;6347; 80.653.193.752.143,00 ;2022-2024
Indonesia;2020;Grains & Cereals;3076109;248286;7905;57635;6097; 80.714.304.987.242,00 ;2018-2021
UK;2019;Bakery Items;2681663;2173957;18453;65597;6303; 81.067.494.312.298,00 ;2018-2021
Mexico;2019;Meat & Seafood;3211743;2647076;12947;21341;5707; 82.418.674.221.443,00 ;2018-2021
South Korea;2020;Fruits & Vegetables;4338458;3580613;3081;119011;6724; 82.531.927.242.352,00 ;2018-2021
Mexico;2023;Fruits & Vegetables;702555;585436;15408;63321;6045; 83.329.561.386.653,00 ;2022-2024
China;2018;Dairy Products;3938965;3332345;4441;104763;5991; 84.599.507.738.708,00 ;2018-2021
Canada;2019;Grains & Cereals;945008;805823;5477;73187;3862; 85.271.553.256.692,00 ;2018-2021
South Africa;2024;Fruits & Vegetables;4568204;3911734;4262;40416;3221; 85.629.582.216.556,00 ;2022-2024
Indonesia;2023;Bakery Items;3229189;2810953;12813;64742;4017; 87.048.265.059.741,00 ;2022-2024
Australia;2024;Prepared Food;4403037;3939875;15836;11404;3383; 89.480.851.512.263,00 ;2022-2024
Russia;2019;Fruits & Vegetables;3550492;3177481;14669;20015;3831; 89.494.103.915.739,00 ;2018-2021
Canada;2021;Beverages;4760795;438219;13048;5393;4983; 92.047.441.656.278,00 ;2018-2021
Spain;2018;Beverages;3043506;2849547;13124;87644;3994; 93.627.119.512.825,00 ;2018-2021
Mexico;2021;Beverages;214668;2012208;12844;114607;6501; 93.735.815.305.495,00 ;2018-2021
Russia;2022;Meat & Seafood;1736226;1634372;13927;71002;6966; 94.133.597.815.031,00 ;2022-2024
France;2023;Dairy Products;4046395;3857446;19739;7256;5854; 95.330.436.104.236,00 ;2022-2024
Indonesia;2019;Dairy Products;2799975;2673528;9209;59334;3381; 95.483.995.392.816,00 ;2018-2021
Germany;2024;Meat & Seafood;1414332;1350693;17149;8622;5968; 95.500.419.986.255,00 ;2022-2024
China;2021;Fruits & Vegetables;1715857;1653881;13146;104923;5357; 96.388.043.992.011,00 ;2018-2021
USA;2019;Dairy Products;2276825;2232864;2631;9503;5042; 98.069.197.237.381,00 ;2018-2021
Turkey;2020;Bakery Items;1361353;1335141;6686;32008;3703; 98.074.562.585.898,00 ;2018-2021
Russia;2024;Beverages;2113061;2078429;18842;44493;635; 98.361.050.627.502,00 ;2022-2024
South Korea;2020;Frozen Food;240929;2374533;10575;14996;3639; 98.557.375.824.413,00 ;2018-2021
South Africa;2018;Fruits & Vegetables;4646694;4634329;18233;64021;6991; 99.733.896.830.736,00 ;2018-2021
Saudi Arabia;2022;Beverages;1577447;1580245;17573;102441;5837; 100.177.375.214.508,00 ;2022-2024
Saudi Arabia;2021;Prepared Food;2591977;2617634;4374;44137;6004; 100.989.862.178.561,00 ;2018-2021
Indonesia;2019;Grains & Cereals;71753;72702;3116;19578;3431; 101.322.592.783.577,00 ;2018-2021
India;2018;Prepared Food;154556;1567096;18532;24218;6206; 101.393.410.802.557,00 ;2018-2021
Germany;2019;Bakery Items;1544112;1574011;12186;102558;629; 101.936.323.271.887,00 ;2018-2021
Brazil;2019;Fruits & Vegetables;2393592;2475866;19873;122473;614; 103.437.260.819.722,00 ;2018-2021
USA;2021;Meat & Seafood;4326426;4477794;4181;66518;4822; 103.498.684.595.553,00 ;2018-2021
Brazil;2021;Frozen Food;89442;940459;4878;37245;3602; 105.147.358.064.444,00 ;2018-2021
France;2021;Bakery Items;3742954;3965605;5544;3845;4585; 105.948.536.904.274,00 ;2018-2021
USA;2021;Dairy Products;3270017;3466865;382;34347;5323; 106.019.785.218.242,00 ;2018-2021
South Africa;2019;Dairy Products;1261607;134505;12363;41018;4213; 106.614.024.811.213,00 ;2018-2021
Canada;2021;Dairy Products;774946;826702;17674;107098;591; 106.678.658.900.104,00 ;2018-2021
Spain;2023;Meat & Seafood;196860;2108415;3677;109268;3582; 107.102.255.409.936,00 ;2022-2024
Indonesia;2022;Fruits & Vegetables;193544;2075186;6475;104956;3573; 107.220.373.661.803,00 ;2022-2024
Italy;2021;Fruits & Vegetables;3080824;3306257;19629;68761;4173; 107.317.295.632.597,00 ;2018-2021
India;2020;Dairy Products;1548771;1664068;18223;36441;4835; 107.444.418.832.739,00 ;2018-2021
France;2024;Dairy Products;1030052;1110421;621;131528;4986; 107.802.421.625.316,00 ;2022-2024
